-30 -0.000285 0.000396 -0.000756
-29 -0.000071 -0.003020 -0.000997
-28 -0.001296 -0.004116 -0.008663
-27 -0.006805 -0.002527 -0.011467
-26 -0.007282 -0.004246 -0.010093
-25 -0.005874 -0.004092 -0.006825
-24 -0.004236 -0.011149 -0.002600
-23 -0.003517 -0.011045 -0.005964
-22 -0.003663 -0.012051 -0.004165
-21 -0.004774 -0.011712 -0.005873
-20 -0.007666 -0.008392 -0.001405
-19 -0.005970 -0.007043 0.001005
-18 -0.006098 -0.003762 0.001089
-17 -0.004524 0.003798 0.003696
-16 -0.002888 0.006166 0.006608
-15 -0.002079 0.011763 0.007569
-14 -0.001658 0.011729 0.009131
-13 0.000849 0.010055 0.009173
-12 -0.000400 0.013910 0.009313
-11 -0.001452 0.016336 0.012623
-10 -0.004314 0.015089 0.012171
-9 -0.003988 0.015171 0.010214
-8 -0.005183 0.021098 0.007203
-7 -0.007345 0.018432 0.012277
-6 -0.003924 0.017210 0.011020
-5 -0.002781 0.016091 0.016486
-4 -0.004376 0.015843 0.014235
-3 -0.006448 0.016639 0.014039
-2 -0.009108 0.017987 0.010369
-1 -0.009929 0.021185 0.012216
0 -0.028476 0.027986 0.040295
1 -0.037567 0.029107 0.058595
2 -0.038317 0.027838 0.061320
3 -0.039091 0.026487 0.061969
4 -0.033443 0.026851 0.061759
5 -0.024107 0.027854 0.063489
6 -0.024825 0.028729 0.063826
7 -0.026932 0.026831 0.065202
8 -0.022658 0.030602 0.062415
9 -0.020594 0.028964 0.061825
10 -0.023189 0.029482 0.066491
11 -0.022147 0.032519 0.063359
12 -0.020597 0.029874 0.062081
13 -0.024937 0.031965 0.063638
14 -0.027535 0.031673 0.063038
15 -0.030020 0.033170 0.061407
16 -0.032451 0.035036 0.063312
17 -0.033129 0.034389 0.062377
18 -0.034299 0.041679 0.066092
19 -0.036914 0.043632 0.063344
20 -0.033210 0.041445 0.063734
21 -0.032218 0.042061 0.063224
22 -0.030609 0.042471 0.062759
23 -0.032977 0.043076 0.064526
24 -0.031832 0.041812 0.063229
25 -0.034315 0.043503 0.066432
26 -0.033801 0.048452 0.069278
27 -0.032727 0.051319 0.068180
28 -0.033697 0.050054 0.071240
29 -0.032575 0.051001 0.073667
30 -0.029329 0.049871 0.071111
