Date,Open,High,Low,Close,Volume,Adj Close
2015-06-01,536.789978,536.789978,529.76001,533.98999,1904300,533.98999
2015-05-29,537.369995,538.630005,531.450012,532.109985,2597400,532.109985
2015-05-28,538.01001,540.609985,536.25,539.780029,1029800,539.780029
2015-05-27,532.799988,540.549988,531.710022,539.789978,1525000,539.789978
2015-05-26,538.119995,539.00,529.880005,532.320007,2406500,532.320007
2015-05-22,540.150024,544.190002,539.51001,540.109985,1176200,540.109985
2015-05-21,537.950012,543.840027,535.97998,542.51001,1462700,542.51001
2015-05-20,538.48999,542.919983,532.971985,539.27002,1430800,539.27002
2015-05-19,533.97998,540.659973,533.039978,537.359985,1966900,537.359985
2015-05-18,532.01001,534.820007,528.849976,532.299988,2003400,532.299988
2015-05-15,539.179993,539.273987,530.380005,533.849976,1971300,533.849976
2015-05-14,533.77002,539.00,532.409973,538.400024,1403900,538.400024
2015-05-13,530.559998,534.322021,528.655029,529.619995,1252300,529.619995
2015-05-12,531.599976,533.208984,525.26001,529.039978,1634200,529.039978
2015-05-11,538.369995,541.97998,535.400024,535.700012,905300,535.700012
2015-05-08,536.650024,541.150024,525.00,538.219971,1527600,538.219971
2015-05-07,523.98999,533.460022,521.75,530.700012,1546300,530.700012
2015-05-06,531.23999,532.380005,521.085022,524.219971,1567000,524.219971
2015-05-05,538.210022,539.73999,530.390991,530.799988,1383100,530.799988
2015-05-04,538.530029,544.070007,535.059998,540.780029,1308000,540.780029
2015-05-01,538.429993,539.539978,532.099976,537.900024,1768200,537.900024
2015-04-30,547.869995,548.590027,535.049988,537.340027,2082200,537.340027
2015-04-29,550.469971,553.679993,546.905029,549.080017,1698800,549.080017
2015-04-28,554.640015,556.02002,550.366028,553.679993,1491000,553.679993
2015-04-27,563.390015,565.950012,553.200012,555.369995,2398000,555.369995
2015-04-24,566.102584,571.14259,557.252507,565.062561,4932500,565.062561
2015-04-23,541.002435,550.96249,540.23244,547.002472,4184800,547.002472
2015-04-22,534.402426,541.082428,531.752397,539.367458,1593500,539.367458
2015-04-21,537.512456,539.392429,533.677415,533.972413,1844700,533.972413
2015-04-20,525.602352,536.092424,524.50235,535.382408,1679200,535.382408
2015-04-17,528.662379,529.842373,521.012371,524.052386,2151800,524.052386
2015-04-16,529.902414,535.592396,529.612373,533.802391,1299800,533.802391
2015-04-15,528.702406,534.732432,523.22235,532.532429,2318800,532.532429
2015-04-14,536.252409,537.572435,528.094416,530.392405,2604100,530.392405
2015-04-13,538.412447,544.062463,537.312445,539.172466,1645300,539.172466
2015-04-10,542.292472,542.292472,537.312445,540.012416,1409400,540.012416
2015-04-09,541.032425,541.952428,535.492451,540.782472,1557800,540.782472
2015-04-08,538.382457,543.852476,538.382457,541.612446,1178500,541.612446
2015-04-07,538.08244,542.692434,536.002456,537.022404,1302800,537.022404
2015-04-06,532.222436,538.412447,529.572407,536.767432,1324400,536.767432
2015-04-02,540.852427,540.852427,533.849395,535.532417,1716300,535.532417
2015-04-01,548.602502,551.142488,539.502472,542.562439,1963000,542.562439
